motivo,count
Desconto alinhado com meu supervisor Bruno Tadeu.,1
ajuste revenda .,1
"Liquida estoque.
Autorizado pela gerência.",1
ajuste de preço ao mercado,1
Pagamento curto prazo,1
"compra a vista, posto combustivel na cidade",1
"preço para cobrir a oferta da coocafe, que 330,00 a vista",1
"Todo o saldo de estoque loja 12 do item 4570 está vencido mais de ano, Desconto devido a qualidade do adubo. Custo no ERP -            R$ 1886,725931504",1
Acompanhando o mercado local.,1
Desconto gerente,1
"Alinhado desconto com Mauro, adubo vencido no pátio.",1
Rafael olha se é possivel esse valor com 90 dias o cooperado não quer ter o trabalho de levar o contrato para avalista assinar vou ter que cancelar o outro pedido novamente.,1
DESCONTO ALINHADO COM DANIEL VENDIDO PELO MARCELO LIMA,1
DESCONTO OFERTADO PARA FECHAR A OPERAÇÃO.,1
Desconto para pagamento a Vista.,1
pedido fechado pelo fornecedor- entrega por conta do próprio fornecedor- Natan,1
produto vencimento essa semana,1
combate de concorrencia,1
DESCONTO QUANTIDADE,1
PREÇO ALINHADO MAURINHO,1
"o item:48881 esta próximo ao vencimento, por isso a o preço promocional",1
Desconto alinhado com o ADM de Cereais e Paulo Otavio.,1
"Meu supervisor aprovou, está com defeito",1
desconto aplicado de acordo com negociação,1
Produto vencido e pedrado,1
meu supervisor aprovou. ESTÁ COM DEFEITO,1
Compra a vista.,1
meu supervisor aprovou pois está na promoção,1
Meu supervisor aprovou. São calças com defeitos,1
Preo acertado com Paulo Otavio,1
desconto solicitado para cobrir preço da concorrência,1
As calças estão com defeito. Ai meu supervisor aprovou,1
Desconto referente a quantidade comprada pelo Cooperado.,1
Acerto de estoque produtos danificados.,1
Desconto solicitado pelo cliente.,1
acompanhar preços coopercitreus,1
"FALTOU 40 LT DA ULTIMA COMPRA DELE, PREÇO TINHA SIDO ALINHADO PAULO OTAVIO",1
preço de concorrente.,1
DESCONTOAUTORIZADO,1
"Limpa estoque.
Autorizado pela gerência.",1
Desconto Thulio AGROCP,1
"meu supervisor aprovou, calcas com defeito",1
Desconto para acompanhar acompanhar,1
desconto autorizado Gerente,1
"Pedido tirado pelo TDM Leonardo, preço específico feito pelo RTV Neto.",1
"Já foi dado desconto nesse ítem ao cooperado, está comprando mais.",1
Produto vencido,1
ALINHADO PAULO OTAVIO,1
PREÇO DE COOCAPEC,1
Autorização de desconto pedido fechado com o cooperado vencimento 27/04/2026,1
"Cobrir oferta agrocerrado, alinhado com Joaquim",1
Limpa estoque - muito molhado e faltando peso - - Mauro Pinheiro.,1
PREÇO COOCAPEC,1
Desconto necessário pois o adubo está empedrado. Acerto de estoque,1
"Compra a vista, no pix, entrega imediata.",1
compra farelo de soja em grande quantidade,1
Concorrência Cooprcitrus .,1
"Desconto autorizado por Inácio para equiparação de preço com concorrência (Coopercam e Geagro), com custo acompanhado pelo Emerson (ICL).",1
cooperado fecha nesse valor preço de coopercitrus,1
Desconto para ganhar cotação concorrência,1
"cooperado fecha nesse valor produto final de ciclos senão sai só la em novembro,preço de coocapec",1
"Desconto autorizado pelo supervisor, calça promoção.",1
acompanhar,1
Autorização de desconto pedido fechado avista com o cooperado,1
Desconto alinhado com Dirceu,1
Desconto para chegar no preço da concorrência alinhado com o Rafael.,1
Condição para produto com prazo vencimento próximo,1
meu supervisor aprovou pois estava com defeito,1
Condição produto proximo ao vencimento.,1
"ATENDER SOLICITAÇÃO COOPERADO, VALOR ACERTADO COM VENDEDOR",1
"Meu supervisor aprovou, pois está com defeito",1
"Condição para cooperado área de ação proximo a região de Caratinga. 
Margem 53%",1
Acompanhar concorrência,1
COTAÇÃO EXPECIFICA ALINHADO JOAQUIM E PAULO OTAVIO,1
Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). acompanhar Mercado (CARPEC/Carmo do Paranaíba-MG).,1
Desconto alinhado,1
Acompanhar concorrência local. Autorizado pelo gerencia,1
a VISTA CAIXA,1
Cobrir oferta Coopercitrus.,1
acompanhar preço coopercitrus,1
mesmo desconto da última compra do mesmo produto,1
Cobrir oferta HInova de Patrocinio.,1
Alinhado com comercial,1
estão com defeito. meu gerente aprovou,1
ajuste revenda agropecuaria cabo verde.,1
Acompanhar preço concorrente JFAgonrgocios.,1
cooperado com valor mais baixo na concorrência,1
Autorização de desconto pedido fechado com o cooperado alinhado com o Gerente Inácio Orani Melo preço acompanhando concorrente Coopercam e Geagro,1
"Conceder desconto para produto, o produto está vencido, empedrado e com embalagens avariadas.",1
